
Iteration 1
28 (50, 4, 35, 45) 156.05508035242525 (10, 10) 1.4618832604962766
29 (50, 1, 75, 45) 177.37938489711416 (10, 10) 0.9999999999999966
30 (50, 1, 70, 45) 180.93699536879106 (10, 10) 0.9999999999999979
31 (50, 1, 65, 45) 182.13748131783655 (10, 10) 0.9999999999999992
32 (50, 2, 55, 55) 182.66137223384632 (10, 10) 0.9999999999999974
{(50, 7, 25, 35): 11.597626427460375, (50, 5, 25, 40): 14.353824215507476, (50, 6, 30, 45): 16.62321147019618, (50, 1, 75, 55): 31.88428283991836, (50, 2, 75, 55): 42.528740156773324, (50, 4, 30, 45): 42.942219625941526, (50, 1, 75, 60): 46.66707094707082, (50, 2, 75, 60): 48.31252352577219, (50, 1, 65, 55): 77.7433152968374, (50, 2, 65, 55): 78.65475694974955, (50, 1, 75, 65): 87.68711478838763, (50, 3, 75, 60): 91.54148780727208, (50, 2, 75, 65): 92.59024314736556, (50, 3, 75, 55): 94.24910662177707, (50, 1, 70, 55): 103.63864939362618, (50, 1, 65, 60): 105.25320861637331, (50, 4, 40, 45): 106.52134439195737, (50, 2, 70, 55): 107.66647662206131, (50, 1, 75, 70): 108.96667668645674, (50, 2, 65, 60): 119.35471411116092, (50, 1, 55, 55): 119.7741093029527, (50, 1, 65, 65): 121.45884457083014, (50, 3, 75, 65): 122.86383660194925, (50, 3, 70, 55): 135.935166301028, (50, 1, 75, 75): 136.0718872909365, (50, 3, 65, 55): 136.28722607121637, (50, 2, 75, 70): 142.71655677924903, (50, 4, 35, 45): 156.05508035242525, (50, 1, 75, 45): 177.37938489711416, (50, 1, 70, 45): 180.93699536879106, (50, 1, 65, 45): 182.13748131783655, (50, 2, 55, 55): 182.66137223384632}

Iteration 2
1 (50, 5, 30, 45) 18.77584915914776 (10, 10) 1.9157856912763014 unique
2 (50, 9, 35, 40) 24.416461488920998 (10, 10) 2.4659988007423572 bad
3 (50, 1, 75, 55) 31.88428283991836 (10, 10) 0.9999999999999994
4 (50, 2, 75, 55) 42.528740156773324 (10, 10) 0.9999999999999989
5 (50, 4, 30, 45) 42.942219625941526 (10, 10) 1.5354247365640232
